"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","negative regulation of anoikis","2.22%","2","88","19","19512","8.14e-2","1.00e+0","23.34","1.00e+0","1.00e+0","3.27e-3"
"GOTERM_BP_DIRECT","cell-matrix adhesion","3.33%","3","88","108","19512","8.39e-2","1.00e+0","6.16","1.00e+0","1.00e+0","1.29e-2"
"KEGG_PATHWAY","Mitophagy - animal","3.33%","3","45","105","9496","8.49e-2","1.00e+0","6.03","1.00e+0","1.00e+0","1.33e-2"
"KEGG_PATHWAY","Protein digestion and absorption","3.33%","3","45","105","9496","8.49e-2","1.00e+0","6.03","1.00e+0","1.00e+0","1.33e-2"
"GOTERM_BP_DIRECT","leukocyte tethering or rolling","2.22%","2","88","20","19512","8.55e-2","1.00e+0","22.17","1.00e+0","1.00e+0","3.62e-3"
"UP_SEQ_FEATURE","COMPBIAS:Basic residues","17.78%","16","86","2512","20669","8.74e-2","1.00e+0","1.53","1.00e+0","1.00e+0","5.35e-2"
"UP_KW_DOMAIN","SH3 domain","4.44%","4","69","229","14656","9.03e-2","3.01e-1","3.71","8.49e-1","3.01e-1","2.28e-2"
"UP_SEQ_FEATURE","ZN_FING:C3H1-type 3","2.22%","2","86","23","20669","9.05e-2","1.00e+0","20.90","1.00e+0","1.00e+0","4.09e-3"
"UP_SEQ_FEATURE","DOMAIN:Cyclin N-terminal","2.22%","2","86","23","20669","9.05e-2","1.00e+0","20.90","1.00e+0","1.00e+0","4.09e-3"
"GOTERM_BP_DIRECT","integrin-mediated signaling pathway","3.33%","3","88","114","19512","9.19e-2","1.00e+0","5.83","1.00e+0","1.00e+0","1.49e-2"
"INTERPRO","TSPN-like_N","2.22%","2","90","23","20827","9.38e-2","1.00e+0","20.12","1.00e+0","9.92e-1","4.40e-3"
"INTERPRO","EGF-like_dom","4.44%","4","90","254","20827","9.51e-2","1.00e+0","3.64","1.00e+0","9.92e-1","2.44e-2"
"GOTERM_CC_DIRECT","glutamatergic synapse","6.67%","6","86","594","20808","9.59e-2","1.00e+0","2.44","1.00e+0","9.87e-1","3.64e-2"
"INTERPRO","ADAMTS/ADAMTS-like","2.22%","2","90","24","20827","9.77e-2","1.00e+0","19.28","1.00e+0","9.92e-1","4.79e-3"

